Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride
90,45,2,2,13,4.47,3,1,90,284.25727302188227
58,39,1,2,72,4.06,1,0,43,173.87475274940766
42,31,0,2,0,3.99,0,1,76,329.7954689622466
89,28,0,1,67,4.31,0,1,134,470.2012317513198
78,22,0,1,74,3.77,0,0,149,579.6814223640141
59,35,2,2,83,3.51,3,0,128,339.9553606047221
93,43,1,1,44,4.41,0,1,16,104.06154127359152
62,39,0,0,83,3.59,0,1,47,235.81186355605
79,14,0,2,71,3.74,1,0,128,501.4125174833056
42,6,0,2,21,3.85,3,1,128,398.9933645706103
86,17,2,1,99,4.69,2,0,167,669.2986264658781
60,38,0,0,15,4.14,1,1,144,414.9901047325251
24,8,0,0,50,4.12,2,0,164,490.41072171830416
36,24,1,2,88,4.22,3,1,83,296.24287599192223
63,13,0,1,74,4.95,0,1,102,327.0888648717375
39,12,2,2,30,4.51,0,1,140,445.1368684239125
38,28,0,2,35,3.93,0,1,54,244.5361718306458
46,14,1,2,21,4.71,0,0,15,47.31430863361691
33,7,1,0,49,4.31,1,1,22,129.8082629093964
31,7,1,2,24,4.82,1,1,87,382.9481103198511
96,45,2,1,6,4.95,0,1,11,82.77279318243978
22,11,1,2,79,4.48,3,0,15,64.07117255500656
74,16,0,1,6,3.97,2,0,139,390.6687658288554
24,12,2,1,10,3.6,1,1,45,212.16652497375452
48,19,1,0,72,3.81,3,1,65,235.65813370551408
56,13,0,1,36,4.81,1,0,162,406.5574980533908
72,33,0,0,66,4.39,2,1,30,182.4744270596517
97,75,2,2,76,4.7,3,0,158,652.617297300081
62,33,1,1,39,3.91,1,1,129,403.22709836941993
57,38,1,2,54,4.1,3,1,131,537.7848594528473
25,7,1,2,13,3.99,2,1,81,286.13145256368455
75,56,1,0,94,4.79,1,1,153,485.0546633356366
39,9,2,0,39,4.64,0,1,48,171.0859835160851
35,24,1,0,73,3.76,1,1,105,485.8784537318511
68,32,1,1,34,3.58,2,0,77,294.7328864777875
96,43,0,2,97,3.68,2,1,91,392.83872040801793
28,11,1,0,52,4.33,0,1,94,456.1809467866996
25,15,0,0,65,4.88,1,1,101,502.5293207873477
28,6,1,1,2,4.29,2,0,89,244.21766165291973
73,17,0,1,14,4.81,1,1,170,634.7265312250814
36,18,2,2,88,3.73,3,1,92,345.40676830595487
56,10,2,2,55,4.5,3,0,45,151.15212964816465
97,81,1,1,52,4.56,1,0,125,530.7599938912294
63,9,0,1,89,3.87,0,1,166,482.85016419959805
78,33,2,2,35,4.46,2,1,116,355.9595074862448
29,10,1,1,25,3.77,0,0,91,303.9609626071891
73,33,1,2,60,3.88,3,1,161,514.8771742414517
94,29,2,1,67,3.59,1,1,96,361.13235495172165
54,28,1,2,83,4.49,3,0,32,80.26246462184758
67,6,0,0,15,3.53,3,0,123,420.6239113101238
23,8,2,2,27,4.73,0,0,117,520.8926706123274
70,14,2,2,16,4.3,2,0,53,183.07579104191225
20,10,0,2,70,4.92,1,0,65,190.13746358777752
95,84,1,0,18,3.86,0,1,112,522.3021028701461
43,16,2,2,40,4.89,3,1,106,410.6863449474928
97,55,1,2,94,4.62,1,1,150,584.9958711291002
32,20,0,2,44,3.55,3,0,68,301.62262644973293
95,25,1,1,72,4.16,2,1,128,413.5870840445325
47,15,2,0,14,4.84,3,0,89,273.11810461931896
25,11,0,2,33,3.85,3,0,94,247.1745626508575
37,22,0,1,76,4.72,0,0,69,213.4432507972432
59,39,1,0,49,3.78,2,1,98,295.79438015283176
42,20,2,2,88,4.64,3,1,29,145.0698091748401
53,11,0,1,2,3.5,0,1,81,297.0186264188845
79,64,0,1,91,4.57,3,0,164,666.6870291344428
59,23,2,0,41,4.97,1,1,91,449.5456339145253
40,29,2,1,72,4.3,0,0,147,624.9860100296204
76,40,1,2,77,4.17,2,0,28,96.03520851587072
41,26,2,1,96,3.91,3,0,169,637.7593915947267
83,14,2,1,80,4.77,3,1,64,295.5887110300315
44,17,0,1,15,4.0,1,0,98,353.33854512223814
91,73,2,0,61,4.39,3,0,15,62.25429041832141
54,16,1,1,8,4.5,0,1,67,266.0685899337195
59,37,0,2,86,4.67,3,1,95,340.1282671016029
72,43,1,0,28,4.87,0,0,132,443.258155352454
47,9,0,0,49,4.44,1,0,96,265.05527443495566
32,22,0,2,49,4.65,3,0,60,221.4343854791753
45,13,0,1,96,4.84,3,0,112,393.2308288248255
72,45,2,2,82,4.42,3,1,40,151.58040412487964
56,15,2,0,34,4.72,3,1,78,313.9950046053331
42,22,0,2,67,3.81,0,1,82,366.1515260551269
52,14,1,2,87,3.54,0,1,98,425.97356882411634
81,23,2,0,39,4.3,1,0,143,359.0531279855558
77,25,0,1,70,4.27,0,1,52,260.34417984860374
27,6,2,0,2,4.42,3,0,86,320.30170917475425
74,34,0,1,18,4.66,2,1,140,454.49212153190336
92,69,2,2,88,4.69,0,0,18,45.11502370436019
77,34,0,0,33,4.13,3,1,48,223.6621142931812
66,6,0,1,23,4.2,1,0,45,173.1577542620492
77,39,2,1,23,4.29,2,0,167,592.240499627505
35,16,2,1,31,4.75,0,1,113,379.3078104185831
48,38,0,0,40,3.7,1,1,80,360.7111703191874
61,18,0,0,84,3.93,1,1,58,203.49261837786293
71,21,1,2,82,4.88,0,1,126,553.5451307734787
95,7,0,0,40,4.68,1,0,95,283.46644254307614
76,44,1,0,20,3.56,0,1,105,435.14534513079855
32,13,1,1,21,4.64,0,0,156,685.7681264991488
49,30,0,2,57,4.83,1,0,154,630.8608868741742
38,17,2,2,92,4.41,0,1,138,546.1568747653598
92,35,1,1,46,4.72,2,0,45,115.35700254441711
40,29,1,2,26,4.26,3,0,152,404.0498951423794
55,42,1,2,24,4.49,0,0,45,156.03832988580584
58,34,0,0,19,4.55,2,1,131,501.26295506529306
34,5,2,1,26,4.85,1,1,152,562.4369764527329
70,47,1,2,3,3.66,2,1,53,216.8024750869831
51,24,0,0,25,4.68,0,1,16,120.09069016935676
88,56,0,1,11,4.36,0,0,60,221.1576532597614
25,8,1,2,83,3.53,1,0,121,492.7012709061221
34,19,0,1,51,4.2,3,1,166,754.2344800100251
40,15,2,1,90,3.62,3,1,42,211.52772882563164
26,7,1,0,58,4.91,0,0,161,460.75927538572495
81,42,1,1,88,4.14,0,0,47,164.10747354764283
80,56,1,0,63,4.57,3,1,43,213.6962129956236
64,19,0,0,86,4.68,3,1,171,732.9893961300692
45,18,0,0,68,4.07,2,0,136,350.6012026111729
84,49,2,1,32,4.25,3,1,53,192.8798062051633
34,16,2,2,47,4.12,1,0,93,294.11580585015537
67,32,1,1,40,4.47,0,1,13,82.52418774801069
93,23,1,2,34,4.23,1,1,125,386.169069413996
100,51,2,2,56,3.58,3,0,89,310.9003272621974
35,22,1,0,15,4.23,2,1,120,373.96284065200393
36,13,0,2,31,4.71,3,0,71,221.55110013131716
28,18,1,1,100,3.7,0,0,127,531.1127009643968
21,9,2,0,10,3.88,2,1,108,324.9426389036563
26,15,2,1,35,5.0,2,1,161,493.4068923175674
97,21,1,1,59,3.87,1,1,174,778.6333560141928
26,15,2,2,10,3.71,2,1,171,720.1572085631501
91,56,2,0,17,4.66,3,0,10,38.23523523879646
65,48,0,2,12,4.37,0,1,140,573.5891064527985
88,28,2,0,22,4.99,3,1,154,682.016246966075
82,13,1,0,32,3.58,3,0,148,516.4367273015673
65,40,2,2,48,3.59,1,0,121,492.5196024192815
41,6,2,2,56,4.32,3,0,11,49.234784001519046
85,36,0,2,64,4.32,1,0,152,506.6928860981053
35,13,0,2,80,3.8,0,0,93,304.3133394836575
83,29,2,2,78,4.42,0,1,23,111.179341237614
91,31,2,1,12,4.39,3,0,39,163.21458328772866
44,28,0,1,31,4.92,3,1,132,402.856989480614
96,12,1,0,15,4.97,3,0,90,289.2351908680133
77,46,1,1,97,4.2,0,1,25,150.53929481479082
91,80,0,0,74,4.74,3,0,46,194.93555934032696
93,42,0,2,75,4.66,2,0,160,674.6485035775572
41,9,0,2,73,3.51,2,0,150,551.5572340398235
61,44,1,1,69,4.54,0,0,52,132.2147645898824
83,10,2,0,28,3.91,0,0,23,70.11182411078714
59,22,0,1,79,4.38,2,1,93,346.2847096470098
42,31,1,0,62,4.95,3,1,13,102.04473025177862
81,16,1,1,73,4.89,3,0,125,494.1401793052489
72,19,0,0,89,4.74,2,1,45,183.658314681842
43,9,0,2,2,4.12,2,0,126,436.5576476487414
74,33,2,2,82,4.13,0,0,10,31.362081322241885
68,45,0,2,65,4.19,1,0,112,323.4791093139413
36,13,2,2,84,4.88,1,1,140,505.3840569466695
51,5,2,0,0,4.59,0,1,92,320.8576215627125
63,23,2,2,48,4.09,1,0,49,214.5660524456202
96,29,2,1,84,3.65,3,0,176,758.5015334295354
94,59,1,1,84,4.38,2,1,175,665.7295341217325
74,32,1,1,2,4.7,1,1,38,171.06636292972274
91,13,0,2,32,3.6,2,1,160,647.3526381087524
69,12,1,1,42,4.34,0,1,158,608.1282399929386
51,20,0,2,57,3.68,3,0,67,246.92292493661097
45,17,0,0,10,4.93,3,1,148,430.0665305032927
92,34,1,1,98,3.99,3,0,140,396.6387527092545
69,36,1,0,55,4.74,2,0,109,436.0114486061054
56,14,1,2,30,3.67,3,0,48,202.9454568505992
43,26,0,1,59,4.91,0,0,175,731.7816872483901
86,48,2,2,37,4.15,3,0,84,216.05054809363543
61,34,2,0,82,3.99,3,1,10,83.86835620425342
50,36,1,0,18,4.61,3,0,145,572.2420492964254
73,34,2,1,95,4.31,2,1,21,118.8070474355678
76,7,2,0,76,4.35,2,0,72,245.8935711917164
87,41,2,1,87,4.36,3,0,87,387.1117403297744
53,33,0,1,40,3.8,2,1,139,507.9505746530285
71,8,1,2,57,3.68,3,0,75,249.302974601016
32,5,0,0,80,3.55,3,0,14,45.91711193197189
91,30,1,0,34,3.69,0,0,96,424.6120578300381
47,37,1,0,64,3.75,2,0,31,85.97357530080251
23,13,0,2,42,4.55,3,0,87,328.9669925908357
57,20,0,1,92,3.74,2,0,53,172.62943414987132
48,17,1,2,2,4.09,1,0,85,261.9435328532634
22,5,2,0,39,4.92,1,0,56,199.0416803252397
60,19,2,2,37,4.22,1,0,68,232.2834549147445
94,42,0,1,0,4.23,2,1,36,185.311838106628
43,6,1,2,34,4.4,2,1,24,153.76143970087224
97,18,1,1,53,4.25,3,1,26,126.4771352873347
47,17,0,2,7,4.8,2,0,173,609.5038276051239
39,28,2,2,72,3.76,0,1,87,287.1624375675698
50,39,1,1,94,3.81,1,1,139,406.32480651562713
35,17,2,1,78,4.4,1,1,61,249.03711265544783
28,8,1,1,69,3.86,1,1,175,620.9016915662245
51,32,0,1,98,4.44,2,1,51,267.0607016773296
54,12,1,2,84,4.98,1,1,172,715.7547930992089
65,10,2,1,77,4.36,0,0,170,430.385487919734
61,26,0,0,21,3.85,2,1,126,604.273047008686
46,9,1,2,67,4.22,1,1,47,243.5250631593867
73,50,2,1,7,4.22,3,0,45,176.2144067384048
86,49,2,1,99,3.51,3,0,130,471.4796320940979
75,7,1,0,100,4.13,2,0,134,453.3769493913552
39,29,1,2,12,4.24,1,0,97,251.1073064574406
33,6,0,0,90,4.81,3,1,139,521.8019208244536
40,29,1,2,6,4.94,3,1,71,346.4926515319707
54,35,1,2,66,4.4,3,0,77,234.0714535105622
53,26,2,0,54,4.6,3,1,52,184.0244513007148
81,34,2,2,98,3.55,0,1,164,554.8869659163038
45,20,2,1,80,4.73,2,0,63,192.61977241404605
20,9,2,2,77,3.91,1,0,89,227.796524806166
47,22,0,2,11,4.8,0,1,119,416.601648993299
33,18,2,0,90,3.61,1,1,146,671.7128294096442
78,57,0,2,5,4.82,2,1,127,552.6397714448676
26,12,0,2,9,3.75,0,0,115,321.37240510655704
62,21,0,1,61,4.57,3,0,56,215.4338699200544
84,59,1,2,67,4.27,2,1,164,758.9961232252967
49,8,2,1,1,4.06,0,1,157,694.4247148756359
34,22,1,0,34,3.64,2,0,176,617.3632185255483
49,30,0,2,86,3.62,0,1,69,328.63536897966003
83,50,0,1,7,3.66,1,1,100,376.3000600585162
88,5,2,2,89,3.59,3,0,27,70.20380336705749
90,71,1,0,88,3.84,2,0,167,451.6848649701074
65,5,0,2,24,3.54,3,0,119,301.40392677127403
73,28,2,2,22,4.57,0,0,53,153.39607111804412
85,62,1,2,54,3.78,2,0,114,339.66230419418656
65,27,0,0,62,3.54,3,1,162,733.4425366578176
74,42,2,0,88,3.5,1,0,77,203.8363809804033
41,7,0,0,68,4.3,1,1,66,284.5088586099128
79,23,2,0,88,3.88,3,0,164,492.1134583590864
53,7,2,2,64,4.55,3,1,10,86.19117981050438
35,14,2,2,74,5.0,3,1,175,727.8809447636283
53,40,0,0,79,3.66,1,1,30,158.65264164620277
36,23,2,2,42,4.66,2,0,14,44.52503661261306
38,25,2,1,2,4.24,2,1,128,452.4258268814717
52,36,0,2,1,4.52,2,1,36,152.64047921471024
91,64,1,1,26,4.56,2,1,96,420.2245689053783
87,5,2,2,59,4.32,3,0,42,151.35930066309265
96,20,1,0,88,3.6,1,1,71,242.27196569085137
83,59,2,0,8,4.85,2,0,31,119.0485543701777
48,23,0,0,0,4.46,0,0,174,472.56954081275165
65,19,1,2,24,4.59,1,0,96,334.6493506052282
79,29,1,2,0,4.86,2,0,127,406.0855256604135
100,22,1,2,45,4.23,3,1,141,551.365137615676
73,63,1,2,25,4.19,0,0,129,534.0181945871103
79,67,0,0,56,4.01,1,1,151,501.2363000548165
88,55,0,1,56,4.0,3,1,26,159.60691863182956
76,34,1,2,10,4.92,2,0,103,359.8010509571677
49,30,1,2,80,3.74,3,0,85,348.6695624527248
100,64,0,1,7,4.89,3,1,115,490.5040759704239
87,26,0,0,63,4.2,2,1,118,485.683239513509
22,5,0,2,93,4.85,1,0,99,424.9275101964327
21,11,0,2,23,3.76,0,0,12,40.442890652890384
93,57,1,1,34,4.89,2,1,80,258.424915281181
28,15,0,0,90,4.25,3,1,177,511.929390993806
97,7,2,2,22,3.74,0,1,147,441.74670095471794
48,12,2,2,51,4.63,3,1,32,175.5180543386476
70,37,2,2,10,3.65,3,1,168,658.5834276725151
78,12,0,2,99,4.3,0,0,95,299.2909931126892
25,7,0,1,24,3.85,1,1,144,494.8027992189699
24,9,2,0,6,4.05,0,1,69,223.51901195083732
92,37,0,2,7,4.92,2,1,103,434.5710508212173
43,33,0,0,16,4.01,2,1,159,630.4284012724294
96,23,2,0,8,4.23,2,1,90,445.1254111184949
88,46,0,0,35,4.89,0,1,72,361.98552095653855
83,43,1,1,20,3.59,2,0,63,267.28219711727195
50,29,2,1,2,4.81,2,0,143,518.9547629602604
97,75,2,1,15,4.94,0,0,163,575.4934491747886
84,24,1,1,39,4.08,0,0,86,349.4432162449335
68,40,1,2,58,4.64,2,1,68,279.2349662242834
77,30,2,1,99,4.7,1,1,179,689.7483154802385
82,67,2,1,13,4.43,0,0,33,88.76294359232648
21,8,1,0,37,3.71,1,1,171,621.7963494961118
75,24,0,1,44,3.79,3,1,72,307.621949405299
61,9,2,0,74,3.98,1,1,32,172.41053126646165
90,13,1,1,24,3.73,0,0,126,444.2453020895959
100,21,1,1,20,3.52,3,1,163,556.8967118375435
93,31,1,0,13,3.58,0,1,101,355.3245754797394
92,14,2,2,57,3.73,2,1,133,474.99773906008016
61,12,0,0,59,4.72,0,1,178,581.9712306098094
53,12,1,0,79,3.6,3,1,154,663.4393972369916
55,21,2,1,20,3.56,3,1,134,519.469492374694
57,45,0,0,78,4.43,0,1,112,397.6919501475396
34,8,1,2,51,4.09,0,1,130,388.1122298927073
50,11,1,2,19,4.87,2,0,144,591.1000759572743
35,22,0,2,82,3.79,0,0,174,586.7988633141081
43,14,1,1,1,3.53,3,1,134,648.9097429236178
50,25,1,2,19,4.32,3,0,176,746.3391324597457
55,19,2,1,64,4.34,2,1,129,555.0976877626003
93,67,2,2,21,4.88,3,1,87,417.91314129159
94,69,2,2,86,4.12,2,1,18,97.80093621671637
70,60,2,1,57,4.05,0,1,43,193.0891119987856
36,25,1,1,61,3.64,3,0,132,492.4640116460618
37,9,1,2,73,4.8,2,0,124,408.81562882076287
68,46,2,0,8,4.21,0,0,116,364.1617948077249
77,15,1,1,47,4.47,2,0,66,228.64349787316
27,12,1,2,64,4.7,1,0,149,667.9464280068869
90,56,1,2,61,4.38,3,1,91,410.34270896598935
46,23,1,1,19,4.92,0,0,169,710.4192641684332
96,80,2,1,47,3.77,2,0,70,177.20306582722415
80,6,0,2,43,4.81,3,0,24,74.32837977574499
80,31,1,2,91,4.61,1,1,127,392.3027600530253
64,25,1,2,85,4.46,0,1,37,168.61019430479575
57,42,0,2,36,3.59,0,1,167,587.2581373063812
52,7,0,2,57,4.82,3,0,180,563.9803272683639
69,56,2,1,73,4.02,3,1,116,352.3474982568331
67,54,1,1,53,3.67,2,0,110,415.3075369486595
25,7,0,2,13,4.07,0,1,60,204.215843297379
80,35,0,1,29,4.49,3,0,79,319.6520700676685
73,6,1,2,5,4.03,3,1,71,362.05333073474793
24,6,2,1,65,4.29,0,1,106,387.4755378090192
37,14,0,0,18,4.36,1,0,85,348.8532987245396
27,6,0,1,74,4.75,0,1,157,732.2985126943609
23,11,2,1,11,4.86,0,0,133,343.6721333865543
42,8,0,0,12,4.79,2,1,166,599.7162532373392
74,39,2,2,11,3.65,2,0,173,484.75453888236336
68,30,2,1,28,4.69,3,1,134,581.1514565564086
59,9,1,2,30,4.83,0,0,140,603.3651642705413
89,75,0,2,76,4.39,1,0,110,369.8546414878244
81,35,1,1,45,4.11,3,0,174,708.8801421484817
33,8,1,1,74,4.52,2,1,56,205.83755050869485
75,28,2,0,49,4.46,3,0,163,684.5607033083106
87,48,1,2,95,4.73,2,0,162,453.2541298779704
56,37,1,2,96,3.83,0,1,130,412.5848379812361
75,32,2,2,20,3.69,1,1,96,440.4442377359072
99,54,0,2,96,3.77,0,1,61,241.6407113776789
33,16,0,1,81,4.08,0,1,50,201.29253189374316
41,28,0,0,89,4.47,1,1,45,220.05114029296504
55,19,1,2,74,3.51,2,0,173,702.9134159653358
93,51,0,2,12,4.98,2,1,90,431.42166025583447
54,35,2,2,11,4.49,0,1,96,466.8626810645626
34,20,2,0,21,4.15,2,1,158,445.1263611668488
86,18,1,2,61,4.3,0,1,126,441.6378571357946
85,27,1,0,8,4.11,3,1,157,669.5210116683382
74,5,1,1,80,3.63,3,0,134,354.3852115042604
